userid,list_id,category,list_type,title,description,source_url,list_photo,,
5,118,Food,number,The Best Rooftop Restaurants in Chicago,"The best rooftop restaurants offer both great food and city views, whether you're gazing at views of the Chicago Loop or glimpses at neighborhood architecture. From one of the best Italian restaurants in the city to a spot for brunch in Chicago, here's where to head this summer.",https://www.timeout.com/chicago/restaurants/best-rooftop-restaurants,https://media.timeout.com/images/101508121/1372/772/image.jpg,,
6,119,Pets,number,9 of the Best Pets for Kids,Here's everything you need to know about nine animals that make perfect family pets!,https://www.care.com/c/stories/6050/9-of-the-best-pets-for-kids/,https://cdn.kinsights.com/cache/94/c9/94c9b486ad26f5cde2188dcbfe64f73e.jpg,,
7,120,Music,number,Guitar Greats,We've curated a Spotify playlist of great guitarists and guitar solos to celebrate the glory of an instrument whose origins have been traced back to as early as the eighth century.,http://www.npr.org/sections/world-cafe/2017/04/15/523966063/celebrate-international-guitar-month-with-these-guitar-greats,http://media.npr.org/assets/img/2017/04/14/jimi_wide-89198c93566604bed1472e70fceb2ac50cf13b3c-s1500-c85.jpg,,
8,121,Food,number,11 Crazy Hot Dogs to Try in the United States,"In the past decade, old-school wieners have gotten a millennial makeover. Creative cooks around the country are vying to outdo one another when it comes to internationally influenced toppings, unique meat makeup, and the freshest bun selection. ",https://www.afar.com/slideshows/11-crazy-hot-dogs-to-try-in-the-united-states,https://afar-production.imgix.net/uploads/slideshow/slides/images/pWGY72x965/original_Doggy-style.jpg?1490286536?ixlib=rails-0.3.0&bg=fafafa&fit=fill&h=488&w=650&dpr=2,,
9,122,Career,number,How a Great Resume Can Change Your Job Search,"You got a haircut, bought a new interview suit, and invested in some business cards to give out as you network with people. You took the time to worry about the icing, but did you also make sure to take care of the cake? A great resume is the foundation to any job search and it can also decide whether or not you get the job you are looking for.",https://www.livecareer.com/resume-tips,https://cdn-us-ec.yottaa.net/52e2a59b63e31e54d4003d89/www.livecareer.com/v~13.44c/images/uploaded/articles/resume-tips.jpg?yocs=p_&yoloc=us,,
10,123,Travel,bullet,Family Beach Vacation Packing List,"Raise your hand if you’re the CEO of packing in your house! Whether you wanted that  title or not, chances are you’re the one who takes on the packing responsibilities when it’s vacation time. Make sure you don’t forget anything with this list.",https://www.travelingmom.com/packing/family-beach-vacation-packing-list/,https://27s2ym2rovnf2lsmdx18fml1-wpengine.netdna-ssl.com/wp-content/uploads/2014/02/Beach-packing-list-graphic.jpg,,
11,124,Travel,number,Top 8 Family Vacations in America,"Family-friendly resorts provide a multitude of options so that parents can entertain their kids, relax with their spouses, and enjoy the fabulous North American outdoors. We've left no stone unturned as we unearthed these amazing resorts filled with off-the-chart family fun. Let the games begin!",http://www.travelchannel.com/interests/family/photos/top-family-vactions-in-america,http://travel.home.sndimg.com/content/dam/images/travel/fullset/2014/12/2/top-10-family-spring-break-vacations-hilton-waikoloa-village.jpg.rend.hgtvcom.966.725.jpeg,,
11,125,Travel,number,Top U.S. Water Parks,"Get wet and wild! Put on your swimsuit and splash around at the best water parks in the US, including Schlitterbahn, Water Country USA and Dollywood Splash Country.",http://www.travelchannel.com/interests/amusement-parks/photos/top-us-water-parks,http://travel.home.sndimg.com/content/dam/images/travel/fullset/2014/03/24/15/us-waterparks_ss_012.rend.hgtvcom.966.544.jpeg,,
12,126,Kids,number,13 Throwback Games & Toys Your Kids Will Love,"Today, many retailers' shelves are filled with throwback toys that you can share with your kids. Check out the modern take on these toys.",http://www.parents.com/fun/games/family/throwback-games-toys-your-kiddo-will-love/,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/throwback_games_12.jpg,,
12,127,Kids,number,11 Activities to Encourage Creativity,"A child's education stretches far beyond a classroom; it extends into the environments where she lives and plays. These activities, designed for children ages 4 and up, are fun ways to develop your child's artistic learning and encourage her to think in a more challenging and creative manner.",http://www.parents.com/fun/activities/indoor/activities-to-encourage-creativity/?slideId=44541,http://images.parents.mdpcdn.com/sites/parents.com/files/styles/width_360/public/images/550_101615988.jpg,,
